Sigla,Código,Estado,homens_2012,mulheres_2012,homens_2026,mulheres_2026,Horas_cuidados_domesticos_2022,variacao_pp_mulheres
AC,12,Acre,45.3,54.7,53.2,46.8,13.6069033767137,-7.900000000000006
AL,27,Alagoas,44.7,55.3,50.7,49.3,20.2171292178629,-6.0
AM,13,Amazonas,47.5,52.5,46.8,53.2,16.8072902757733,0.7000000000000028
AP,16,Amapá,48.1,51.9,51.1,48.9,13.5866555167852,-3.0
BA,29,Bahia,43.8,56.2,44.7,55.3,17.8497758460541,-0.9000000000000057
CE,23,Ceará,51.1,48.9,52.7,47.3,19.4992932027235,-1.6000000000000014
DF,53,Distrito Federal,41.0,59.0,47.9,52.1,15.096351385207,-6.899999999999999
ES,32,Espírito Santo,46.4,53.6,47.5,52.5,17.111106290015,-1.1000000000000014
GO,52,Goiás,41.0,59.0,47.5,52.5,15.186470906304,-6.5
MA,21,Maranhão,47.2,52.8,49.1,50.9,16.6696136292494,-1.8999999999999986
MG,31,Minas Gerais,43.1,56.9,48.6,51.4,17.5021406571034,-5.5
MS,50,Mato Grosso do Sul,47.2,52.8,45.3,54.7,15.3097832617493,1.9000000000000057
MT,51,Mato Grosso,44.1,55.9,42.8,57.2,14.2399887961122,1.3000000000000043
PA,15,Pará,43.2,56.8,48.3,51.7,16.4742675461237,-5.099999999999994
PB,25,Paraíba,44.4,55.6,48.9,51.1,18.9208162367917,-4.5
PE,26,Pernambuco,43.9,56.1,48.7,51.3,19.3062494353697,-4.800000000000004
PI,22,Piauí,51.2,48.8,55.1,44.9,17.9603658531316,-3.8999999999999986
PR,41,Paraná,40.3,59.7,46.3,53.7,15.390121730267,-6.0
RJ,33,Rio de Janeiro,44.2,55.8,45.4,54.6,16.7162625363432,-1.1999999999999957
RN,24,Rio Grande do Norte,51.0,49.0,48.2,51.8,18.3077395434398,2.799999999999997
RO,11,Rondônia,43.4,56.6,33.0,67.0,17.0141615324527,10.399999999999999
RR,14,Roraima,41.8,58.2,43.4,56.6,13.6392572876041,-1.6000000000000014
RS,43,Rio Grande do Sul,42.8,57.2,47.4,52.6,15.3567089139082,-4.600000000000001
SC,42,Santa Catarina,42.7,57.3,44.6,55.4,16.0393552022563,-1.8999999999999986
SE,28,Sergipe,46.5,53.5,40.3,59.7,18.8265414829145,6.200000000000003
SP,35,São Paulo,45.4,54.6,46.2,53.8,17.0712954792981,-0.8000000000000043
TO,17,Tocantins,55.3,44.7,46.2,53.8,15.81578056021,9.099999999999994
